trial_type,trial_index,time_elapsed,exp_name,date,time,angle_mean_in,radius_mean_in,angle_sd_in,radius_sd_in,angle_min_out,angle_max_out,radius_min_out,radius_max_out,sub_n,age,race,ethnicity,gender,exp_duration,rt,response,exp_trial_type,screen_id,angle,radius,distribution,choice,correct
canvas-keyboard-response,579,3914105,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,566,u,learn,learn_trial,27.9518,73.393,in,1,1
canvas-keyboard-response,584,3916369,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,663,i,learn,learn_trial,40,60,out,0,1
canvas-keyboard-response,589,3918705,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,734,i,learn,learn_trial,10,100,out,0,1
canvas-keyboard-response,594,3924410,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,4100,u,learn,learn_trial,30,70,out,1,0
canvas-keyboard-response,599,3928609,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,2092,i,learn,learn_trial,25,93,in,0,0
canvas-keyboard-response,604,3931458,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,743,i,learn,learn_trial,10,120,out,0,1
canvas-keyboard-response,609,3934145,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1089,i,learn,learn_trial,16.6667,40,out,0,1
canvas-keyboard-response,614,3936585,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,837,i,learn,learn_trial,40,70,out,0,1
canvas-keyboard-response,619,3948753,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,10566,u,learn,learn_trial,33.3333,70,out,1,0
canvas-keyboard-response,624,3951512,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,660,i,learn,learn_trial,16.6667,30,out,0,1
canvas-keyboard-response,629,3954025,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,914,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,634,3956745,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1118,i,learn,learn_trial,26.6667,100,out,0,1
canvas-keyboard-response,639,3959761,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1403,i,learn,learn_trial,23.3333,110,out,0,1
canvas-keyboard-response,644,3963248,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1883,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,649,3965593,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,735,i,learn,learn_trial,10,80,out,0,1
canvas-keyboard-response,654,3968050,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,855,u,learn,learn_trial,26.6667,90,out,1,0
canvas-keyboard-response,659,3971737,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1590,i,learn,learn_trial,25,57,in,0,0
canvas-keyboard-response,664,3974729,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,883,i,learn,learn_trial,33.3333,60,out,0,1
canvas-keyboard-response,669,3977433,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1108,u,learn,learn_trial,23.8209,66.7243,in,1,1
canvas-keyboard-response,674,3979680,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,643,i,learn,learn_trial,23.3333,120,out,0,1
canvas-keyboard-response,679,3987129,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,5850,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,684,3992273,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,3534,u,learn,learn_trial,23.3333,70,out,1,0
canvas-keyboard-response,689,3995160,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,785,i,learn,learn_trial,26.6667,50,out,0,1
canvas-keyboard-response,694,3997561,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,794,i,learn,learn_trial,20,100,out,0,1
canvas-keyboard-response,699,3999840,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,679,i,learn,learn_trial,13.3333,120,out,0,1
canvas-keyboard-response,704,4002136,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,695,i,learn,learn_trial,33.3333,100,out,0,1
canvas-keyboard-response,709,4005265,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1528,i,learn,learn_trial,16.6667,80,out,0,1
canvas-keyboard-response,714,4013344,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,6478,u,learn,learn_trial,20,90,out,1,0
canvas-keyboard-response,719,4016464,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,1031,u,learn,learn_trial,25,75,in,1,1
canvas-keyboard-response,724,4018624,2d_cat_multi_stim_exp1,2022-05-04,15:17:8,25,75,3,9,10,40,30,120,93,19,"[""""Black or African-American""""]",No,Female,6075679,559,u,learn,learn_trial,25,75,in,1,1
