participant,computer_number,exp_condition,trial_type,set_type,set,difficulty_level,stim_order,stim_1_phy,stim_2_phy,stim_3_phy,stim_1_psy,stim_2_psy,stim_3_psy,stim_1_phy_shuffled,stim_2_phy_shuffled,stim_3_phy_shuffled,stim_1_psy_shuffled,stim_2_psy_shuffled,stim_3_psy_shuffled,key_correct_1,key_correct_2,key_resp,choice_num,choice_stim_phy,choice_stim_psy,correct,rt,stim_min,stim_max,choice
1,1,centered,attraction,trinary,l-s-ds,easy,[2 1 0],224,273,203.0,8.25,12.25,6.25,203,273,224,6.25,12.25,8.25,k,NA,k,2,273,12.25,1,7.114697456359863,12.25,8.25,ds
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,1.9679224491119385,12.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,equal_1_jnd,[0 2 1],247,273,301.0,10.25,12.25,14.25,247,301,273,10.25,14.25,12.25,j,l,j,1,247,10.25,1,1.5879979133605957,10.25,14.25,s
1,1,centered,attraction,binary,l-s,difficult,[1 0],247,286,NA,10.25,13.25,NA,286,247,NA,13.25,10.25,NA,k,NA,j,1,286,13.25,0,2.908914089202881,10.25,13.25,l
1,1,centered,attraction,trinary,l-s-ds,difficult,[2 0 1],236,273,214.0,9.25,12.25,7.25,214,236,273,7.25,9.25,12.25,l,NA,k,2,236,9.25,0,2.724729299545288,12.25,9.25,l
1,1,centered,attraction,binary,l-s,difficult,[0 1],236,273,NA,9.25,12.25,NA,236,273,NA,9.25,12.25,NA,k,NA,j,1,236,9.25,0,1.1712584495544434,12.25,9.25,l
1,1,centered,attraction,binary,l-s,equal_2_jnd,[0 1],236,286,NA,9.25,13.25,NA,236,286,NA,9.25,13.25,NA,j,k,k,2,286,13.25,1,2.377068042755127,13.25,9.25,s
1,1,centered,attraction,trinary,l-s-ds,equal_2_jnd,[1 0 2],236,286,214.0,9.25,13.25,7.25,286,236,214,13.25,9.25,7.25,k,j,k,2,236,9.25,1,3.289534330368042,13.25,9.25,l
1,1,centered,attraction,trinary,l-s-dl,equal_2_jnd,[1 0 2],236,286,316.0,9.25,13.25,15.25,286,236,316,13.25,9.25,15.25,k,j,k,2,236,9.25,1,3.1586127281188965,13.25,9.25,dl
1,1,centered,attraction,trinary,l-s-ds,easy,[1 2 0],247,301,224.0,10.25,14.25,8.25,301,224,247,14.25,8.25,10.25,l,NA,k,2,224,8.25,0,1.176555871963501,10.25,8.25,l
1,1,centered,attraction,binary,l-s,easy,[0 1],247,301,NA,10.25,14.25,NA,247,301,NA,10.25,14.25,NA,j,NA,j,1,247,10.25,1,4.268108367919922,10.25,14.25,s
