"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","response","exp_trial_type","stimulus","view_history","screen_id","angle","radius","distribution","correct","choice","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tc_angle","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1635","1580368","0.0-15.0-1.155","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1260","j","transfer","","","transfer_trial","","","","1","a","ab","25","66","25","84","null","null","jk","attraction","binary","ab","both","180","t","c","","4","","","",""
"","","","","","canvas-keyboard-response","1636","1580882","0.0-15.0-2.155","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","j","transfer","","","transfer_feedback","","","","1","a","ab","25","66","25","84","null","null","","attraction","binary","ab","both","","t","c","","4","","","",""
"","","","","","canvas-keyboard-response","1637","1581198","0.0-15.0-3.155","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1638","1581708","0.0-15.0-0.156","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","ba","23","85","23","113","","","k","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1639","1584928","0.0-15.0-1.156","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","2758","k","transfer","","","transfer_trial","","","","1","a","ba","23","85","23","113","null","null","k","filler_sample","binary","a","","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1640","1585941","0.0-15.0-2.156","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","k","transfer","","","transfer_feedback","","","","1","a","ba","23","85","23","113","null","null","","filler_sample","binary","a","","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1641","1586252","0.0-15.0-3.156","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1642","1586761","0.0-15.0-0.157","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","ab","25","66","25","84","","","jk","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1643","1588369","0.0-15.0-1.157","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","1144","k","transfer","","","transfer_trial","","","","1","b","ab","25","66","25","84","null","null","jk","attraction","binary","ab","both","180","t","c","","4","","","",""
"","","","","","canvas-keyboard-response","1644","1588881","0.0-15.0-2.157","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","k","transfer","","","transfer_feedback","","","","1","b","ab","25","66","25","84","null","null","","attraction","binary","ab","both","","t","c","","4","","","",""
"","","","","","canvas-keyboard-response","1645","1589192","0.0-15.0-3.157","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1646","1589703","0.0-15.0-0.158","2d_cat_multi_stim_exp1","2022-4-15","14:6:12","25","75","3","9","10","40","30","120","41","19","[""Asian"",""White""]","No","Female","2015765","null","null","","","","fixation","","","","","","bac","25","66","25","59.25","28","75","kl","","","","","","","","","","","","",""
