"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","time","angle_mean_in","radius_mean_in","angle_sd_in","radius_sd_in","angle_min_out","angle_max_out","radius_min_out","radius_max_out","sub_n","age","race","ethnicity","gender","exp_duration","rt","stimulus","response","exp_trial_type","view_history","screen_id","angle","radius","distribution","choice","correct","order","angle_a","radius_a","angle_b","radius_b","angle_c","radius_c","jkl_correct","transfer_trial_type","choice_set","abc_correct","tc_correct","tdc_a","tdc_b","tdc_c","pair","category_a","category_b","category_c","question_order"
"","","","","","canvas-keyboard-response","1537","1048915","0.0-16.0-2.130","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","k","transfer","","transfer_feedback","","","","a","1","ba","28","75","22","75","null","null","","attraction","binary","ab","both","t","c","","1","","","",""
"","","","","","canvas-keyboard-response","1538","1049231","0.0-16.0-3.130","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1539","1049739","0.0-16.0-0.131","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","acb","30","90","21","95","19","109","j","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1540","1050484","0.0-16.0-1.131","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","280","","j","transfer","","transfer_trial","","","","a","1","acb","30","90","21","95","19","109","j","filler_sample","trinary","a","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1541","1051494","0.0-16.0-2.131","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","j","transfer","","transfer_feedback","","","","a","1","acb","30","90","21","95","19","109","","filler_sample","trinary","a","","","","","","in","out1","",""
"","","","","","canvas-keyboard-response","1542","1051802","0.0-16.0-3.131","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1543","1052313","0.0-16.0-0.132","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","fixation","","","","","","ab","23","66","15","48","","","j","","","","","","","","","","","",""
"","","","","","canvas-keyboard-response","1544","1053109","0.0-16.0-1.132","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","322","","k","transfer","","transfer_trial","","","","b","0","ab","23","66","15","48","null","null","j","filler_sample","binary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1545","1057121","0.0-16.0-2.132","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","k","transfer","","transfer_feedback","","","","b","0","ab","23","66","15","48","null","null","","filler_sample","binary","a","","","","","","in","out1","out2",""
"","","","","","canvas-keyboard-response","1546","1057437","0.0-16.0-3.132","2d_cat_multi_stim_exp1","2022-3-28","11:31:56","25","75","3","9","10","40","30","120","3","19","[""Asian""]","No","Female","1442291","null","","null","","","clear_screen","","","","","","","","","","","","","","","","","","","","","","","","",""
