"success","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_name","date","sub_n","rt","response","url","timeout","failed_images","failed_audio","failed_video","view_history","stim","stim_vals","line_lens_order","stim_vals_order_psy","choices","stim_names","corr_ans","give_fb","in_cat","key_choice","choice","choice_psy","correct","fb_in_cat","line_1_in_order","line_2_in_order","line_3_in_order","psy_1_in_order","psy_2_in_order","psy_3_in_order","line_length","exp_trial_type","jnds","dens","distribution","T_psy","T_phy","C_psy","C_phy","D_psy","D_phy","correct_1_psy","correct_2_psy","correct_1_phy","transfer_trial_type","trial_choice_set","difficulty","target_side","competitor_side","tc_correct","side_correct","stim_1_psy","stim_2_psy","stim_3_psy","stim_1_phy","stim_2_phy","stim_3_phy","target_phy","competitor_phy","decoy_phy","attr_choice","question_order","stimulus"
"","transfer_trial","categorize-lines-2","560","2519074","0.0-6.0-0.352","line_cat_multi_stim_2","20211116","117","1028","","","","","","","","","[410.6985,253.1802,243.507]","[253.1802,243.507,410.6985]","[10.728928729284515,9.930493239660157,20.643998471923215]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[410.6985,410.6985]","true","null","k","243.507","9.930493239660157","0","","253.1802","243.507","410.6985","10.728928729284515","9.930493239660157","20.643998471923215","","transfer","","","","","","","","","","20.644","410.6985","410.6985","filler_easy","trinary","","","","","right","20.644","10.7289","9.9305","410.6985","253.1802","243.507","","","","NA","",""
"","transfer_trial","categorize-lines-2","561","2523822","0.0-6.0-0.353","line_cat_multi_stim_2","20211116","117","716","","","","","","","","","[198.5774,323.4616,208.5062]","[208.5062,323.4616,198.5774]","[6.749997433250141,15.750000521219516,5.750004314173399]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[198.5774,198.5774]","true","null","k","323.4616","15.750000521219516","0","","208.5062","323.4616","198.5774","6.749997433250141","15.750000521219516","5.750004314173399","","transfer","","","","","198.5774","","323.4616","","208.5062","5.75","198.5774","198.5774","attraction","trinary","difficult","left","right","target","left","5.75","15.75","6.75","198.5774","323.4616","208.5062","198.5774","323.4616","208.5062","competitor","",""
"","transfer_trial","categorize-lines-2","562","2527286","0.0-6.0-0.354","line_cat_multi_stim_2","20211116","117","1422","","","","","","","","","[339.6347,208.5062,218.9315]","[218.9315,208.5062,339.6347]","[7.749996497069925,6.749997433250141,16.7500017281595]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[339.6347,339.6347]","true","null","l","339.6347","16.7500017281595","1","","218.9315","208.5062","339.6347","7.749996497069925","6.749997433250141","16.7500017281595","","transfer","","","","","208.5062","","339.6347","","218.9315","16.75","339.6347","339.6347","attraction","trinary","difficult","left","right","competitor","right","16.75","6.75","7.75","339.6347","208.5062","218.9315","208.5062","339.6347","218.9315","competitor","",""
"","transfer_trial","categorize-lines-2","563","2533376","0.0-6.0-0.355","line_cat_multi_stim_2","20211116","117","2058","","","","","","","","","[339.6347,208.5062,323.4616]","[208.5062,339.6347,323.4616]","[6.749997433250141,16.7500017281595,15.750000521219516]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[339.6347,339.6347]","true","null","j","208.5062","6.749997433250141","0","","208.5062","339.6347","323.4616","6.749997433250141","16.7500017281595","15.750000521219516","","transfer","","","","","339.6347","","208.5062","","323.4616","16.75","339.6347","339.6347","attraction","trinary","difficult","right","left","target","right","16.75","6.75","15.75","339.6347","208.5062","323.4616","339.6347","208.5062","323.4616","competitor","",""
"","transfer_trial","categorize-lines-2","564","2536716","0.0-6.0-0.356","line_cat_multi_stim_2","20211116","117","1304","","","","","","","","","[153.6395883326652,204.55517900413733]","[204.55517900413733,153.6395883326652]","[6.357889428175288,0.4913742422856846,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","153.6395883326652","0.4913742422856846","1","","204.55517900413733","153.6395883326652","","6.357889428175288","0.4913742422856846","NaN","","transfer","","","","","","","","","","","","","filler_sample","binary","","","","","right","-1","1","0","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","565","2544060","0.0-6.0-0.357","line_cat_multi_stim_2","20211116","117","3304","","","","","","","","","[413.13468079341726,277.9300497903522,251.02535662768375]","[277.9300497903522,413.13468079341726,251.02535662768375]","[12.640543006414493,20.765217058960467,10.553739080811782]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","sampled_1","true","null","l","251.02535662768375","10.553739080811782","0","","277.9300497903522","413.13468079341726","251.02535662768375","12.640543006414493","20.765217058960467","10.553739080811782","","transfer","","","","","","","","","","","","","filler_sample","trinary","","","","","left","-1","1","1","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","566","2549382","0.0-6.0-0.358","line_cat_multi_stim_2","20211116","117","1280","","","","","","","","","[263.8546404413616,296.44898660139694]","[263.8546404413616,296.44898660139694]","[11.575346437896437,13.96264737373279,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","k","296.44898660139694","13.96264737373279","0","","263.8546404413616","296.44898660139694","","11.575346437896437","13.96264737373279","NaN","","transfer","","","","","","","","","","","","","filler_sample","binary","","","","","right","-1","1","0","","","","","","","NA","",""
"","transfer_trial","categorize-lines-2","567","2554164","0.0-6.0-0.359","line_cat_multi_stim_2","20211116","117","740","","","","","","","","","[356.6164,208.5062,339.6347]","[339.6347,208.5062,356.6164]","[16.7500017281595,6.749997433250141,17.74999971659282]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[356.6164,356.6164]","true","null","k","208.5062","6.749997433250141","0","","339.6347","208.5062","356.6164","16.7500017281595","6.749997433250141","17.74999971659282","","transfer","","","","","356.6164","","208.5062","","339.6347","17.75","356.6164","356.6164","attraction","trinary","easy","right","left","target","right","17.75","6.75","16.75","356.6164","208.5062","339.6347","356.6164","208.5062","339.6347","competitor","",""
"","transfer_trial","categorize-lines-2","568","2557198","0.0-6.0-0.360","line_cat_multi_stim_2","20211116","117","998","","","","","","","","","[339.6347,198.5774,208.5062]","[208.5062,198.5774,339.6347]","[6.749997433250141,5.750004314173399,16.7500017281595]","[""j"",""k"",""l""]","[""J"",""K"",""L""]","[198.5774,339.6347]","true","null","l","339.6347","16.7500017281595","1","","208.5062","198.5774","339.6347","6.749997433250141","5.750004314173399","16.7500017281595","","transfer","","","","","198.5774","","339.6347","","208.5062","5.75","339.6347","198.5774","attraction","trinary","equal_chance_6_JND","left","right","both","equal","16.75","5.75","6.75","339.6347","198.5774","208.5062","198.5774","339.6347","208.5062","competitor","",""
"","transfer_trial","categorize-lines-2","569","2559996","0.0-6.0-0.361","line_cat_multi_stim_2","20211116","117","760","","","","","","","","","[322.8746912747514,231.057135917227]","[322.8746912747514,231.057135917227]","[15.71277765086593,8.854852916140239,null]","[""j"",""k""]","[""J"",""K""]","sampled_1","true","null","j","322.8746912747514","15.71277765086593","1","","322.8746912747514","231.057135917227","","15.71277765086593","8.854852916140239","NaN","","transfer","","","","","","","","","","","","","filler_sample","binary","","","","","left","-1","1","0","","","","","","","NA","",""
