date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,101,learn,23,433.4695,out,21.75,i,NO,TRUE,1062
20210928,101,learn,24,269.773,in,12.03,u,YES,TRUE,2150
20210928,101,learn,25,378.8576,out,18.99,i,NO,TRUE,956
20210928,101,learn,26,214.2817,out,7.31,u,YES,FALSE,1332
20210928,101,learn,27,274.6873,out,12.4,u,YES,FALSE,2640
20210928,101,learn,28,242.9078,in,9.88,u,YES,TRUE,2582
20210928,101,learn,29,246.0089,in,10.14,u,YES,TRUE,614
20210928,101,learn,30,260.715,in,11.33,i,NO,FALSE,1152
20210928,101,learn,31,280.511,in,12.83,i,NO,FALSE,564
20210928,101,learn,32,160.7608,out,1.42,u,YES,FALSE,980
20210928,101,learn,33,262.5019,in,11.47,u,YES,TRUE,3746
20210928,101,learn,34,188.2927,out,4.66,u,YES,FALSE,924
20210928,101,learn,35,176.8932,out,3.38,i,NO,TRUE,954
20210928,101,learn,36,272.5513,out,12.24,u,YES,FALSE,508
20210928,101,learn,37,327.7509,in,16.02,i,NO,FALSE,988
20210928,101,learn,38,170.5372,in,2.63,u,YES,TRUE,1824
20210928,101,learn,39,346.6662,in,17.17,i,NO,FALSE,864
20210928,101,learn,40,356.0948,in,17.72,i,NO,FALSE,1186
20210928,101,learn,41,266.7626,out,11.8,u,YES,FALSE,900
20210928,101,learn,42,219.1453,in,7.77,u,YES,TRUE,706
20210928,101,learn,43,186.3733,out,4.45,i,NO,TRUE,3724
20210928,101,learn,44,286.0393,in,13.23,u,YES,TRUE,948
20210928,101,learn,45,173.1362,out,2.94,u,YES,FALSE,930
20210928,101,learn,46,370.2688,out,18.52,i,NO,TRUE,786
20210928,101,learn,47,233.8373,in,9.1,u,YES,TRUE,772
20210928,101,learn,48,286.8779,in,13.29,i,NO,FALSE,878
20210928,101,learn,49,426.7543,out,21.43,i,NO,TRUE,952
20210928,101,learn,50,199.354,out,5.83,i,NO,TRUE,1176
20210928,101,learn,51,183.2177,out,4.1,u,YES,FALSE,2546
