sub_n,trial_num,line1,line2,line3,trial_type,choice_set,target,decoy,competitor,choice
137,273,189.1213,323.4616,198.5774,attraction,trinary,189.1213,198.5774,323.4616,323.4616
138,273,339.6347,208.5062,NA,attraction,binary,339.6347,NA,208.5062,339.6347
139,273,189.1213,323.4616,NA,attraction,binary,189.1213,NA,323.4616,323.4616
140,273,208.5062,323.4616,NA,attraction,binary,208.5062,NA,323.4616,208.5062
142,273,200.55637289328507,265.6575449099581,NA,filler_sample,binary,NA,NA,NA,265.6575449099581
143,273,317.99585632704685,236.46309934764463,243.199529271346,filler_sample,trinary,NA,NA,NA,317.99585632704685
144,273,364.0120386351378,242.61775428124471,NA,filler_sample,binary,NA,NA,NA,242.61775428124471
145,273,189.1213,323.4616,NA,attraction,binary,189.1213,NA,323.4616,189.1213
146,273,339.6347,323.4616,198.5774,attraction,trinary,339.6347,323.4616,198.5774,198.5774
147,273,323.4616,198.5774,NA,attraction,binary,198.5774,NA,323.4616,198.5774
148,273,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,356.6164
149,273,323.4616,189.1213,308.0587,attraction,trinary,323.4616,308.0587,189.1213,323.4616
150,273,198.5774,339.6347,208.5062,attraction,trinary,198.5774,208.5062,339.6347,339.6347
151,273,323.4616,198.5774,208.5062,attraction,trinary,198.5774,208.5062,323.4616,198.5774
152,273,248.55997497667815,254.44893106423729,244.06435998154288,filler_sample,trinary,NA,NA,NA,244.06435998154288
153,273,263.56285867128076,252.0620814907111,287.9831567848196,filler_sample,trinary,NA,NA,NA,252.0620814907111
154,273,189.1213,198.5774,323.4616,attraction,trinary,189.1213,198.5774,323.4616,323.4616
155,273,323.4616,189.1213,308.0587,attraction,trinary,323.4616,308.0587,189.1213,189.1213
158,273,339.6347,208.5062,323.4616,attraction,trinary,339.6347,323.4616,208.5062,339.6347
159,273,208.5062,356.6164,NA,attraction,binary,356.6164,NA,208.5062,356.6164
160,273,339.6347,198.5774,323.4616,attraction,trinary,339.6347,323.4616,198.5774,198.5774
301,273,242.6959,152.1939,241.408,filler_easy,trinary,NA,NA,NA,152.1939
163,273,246.76713591844464,300.64374018200783,261.2159229643191,filler_sample,trinary,NA,NA,NA,300.64374018200783
164,273,288.51805296401324,279.829171444049,NA,filler_sample,binary,NA,NA,NA,288.51805296401324
165,273,308.0587,189.1213,323.4616,attraction,trinary,323.4616,308.0587,189.1213,189.1213
166,273,189.1213,323.4616,NA,attraction,binary,189.1213,NA,323.4616,189.1213
167,273,323.4616,189.1213,308.0587,attraction,trinary,323.4616,308.0587,189.1213,323.4616
168,273,198.5774,323.4616,NA,attraction,binary,198.5774,NA,323.4616,198.5774
169,273,339.6347,208.5062,323.4616,attraction,trinary,339.6347,323.4616,208.5062,208.5062
170,273,339.6347,208.5062,NA,attraction,binary,339.6347,NA,208.5062,339.6347
171,273,339.6347,208.5062,NA,attraction,binary,339.6347,NA,208.5062,208.5062
172,273,275.5735,155.441,NA,filler_easy,binary,NA,NA,NA,155.441
173,273,208.5062,356.6164,NA,attraction,binary,208.5062,NA,356.6164,208.5062
175,273,247.4936,421.378,NA,filler_easy,binary,NA,NA,NA,421.378
176,273,189.1213,308.0587,323.4616,attraction,trinary,323.4616,308.0587,189.1213,323.4616
177,273,237.63911194250525,157.29479322858273,NA,filler_sample,binary,NA,NA,NA,157.29479322858273
178,273,267.7217682834256,250.96972905213067,164.2253442300601,filler_sample,trinary,NA,NA,NA,164.2253442300601
179,273,198.5774,339.6347,NA,attraction,binary,198.5774,NA,339.6347,339.6347
