date,sub_n,screen_id,trial_type,trial_num,exp_trial_type,trial_index,time_elapsed,give_fb,fb_in_cat,in_cat,distribution,stim,stim_vals,line_length,jnds,dens,rt,key_choice,choice,correct
20211116,119,learn_trial,categorize-lines-2,2,learning,8,192214,TRUE,out,out,out,,[259.5727],259.5727,11.24,0.1773,1276,i,NO,1
20211118,125,learn_trial,categorize-lines-2,2,learning,8,380491,TRUE,out,out,out,,[255.1777],255.1777,10.89,0.1751,1537,i,NO,1
20211118,126,learn_trial,categorize-lines-2,2,learning,8,459186,TRUE,in,in,in,,[206.4815],206.4815,6.55,0.0444,932,i,NO,0
20211118,127,learn_trial,categorize-lines-2,2,learning,8,561154,TRUE,out,out,out,,[231.4537],231.4537,8.89,0.1023,2261,u,YES,0
20211118,128,learn_trial,categorize-lines-2,2,learning,8,352200,TRUE,out,out,out,,[243.7389],243.7389,9.95,0.1501,4297,u,YES,0
20211118,129,learn_trial,categorize-lines-2,2,learning,8,383798,TRUE,in,in,in,,[157.5],157.5,1,0.0444,3146,u,YES,1
20211118,130,learn_trial,categorize-lines-2,2,learning,8,278159,TRUE,out,out,out,,[226.0962],226.0962,8.41,0.0799,2542,u,YES,0
20211118,131,learn_trial,categorize-lines-2,2,learning,8,390558,TRUE,out,out,out,,[262.5019],262.5019,11.47,0.1765,1630,i,NO,1
20211118,132,learn_trial,categorize-lines-2,2,learning,8,879882,TRUE,in,in,in,,[155.8185],155.8185,0.78,0.0444,1671,i,NO,0
20211118,133,learn_trial,categorize-lines-2,2,learning,8,290221,TRUE,out,out,out,,[317.6747],317.6747,15.38,0.0329,1814,i,NO,1
20211118,134,learn_trial,categorize-lines-2,2,learning,8,217891,TRUE,in,in,in,,[235.3252],235.3252,9.23,0.0444,2121,u,YES,1
20211119,135,learn_trial,categorize-lines-2,2,learning,8,237110,TRUE,out,out,out,,[255.1777],255.1777,10.89,0.1751,1394,i,NO,1
20211119,136,learn_trial,categorize-lines-2,2,learning,8,231548,TRUE,in,in,in,,[211.2711],211.2711,7.02,0.0444,2162,u,YES,1
