distribution,jnds,dens,line_len,prob_in,optimal_rsp,optimal_prob
in,13,0.04444444444444444,282.8473713484855,0.25328315634903426,out,0.765
out,12.83,0.13856355180373972,280.5110450248125,0.24285520499427593,out,0.765
in,11.36,0.04444444444444444,261.09688858276974,0.2006154750537471,out,0.765
out,12.7,0.1440604181225942,278.73747221782253,0.23577346408577926,out,0.765
in,11.9,0.04444444444444444,268.067348070866,0.2071946998721002,out,0.765
out,11.33,0.1771957412136253,260.7149993357941,0.2005252085152558,out,0.765
in,12.98,0.04444444444444444,282.571502573544,0.25198526349857286,out,0.765
out,11.25,0.17730778182952328,259.69935655084953,0.20042389287913964,out,0.765
in,12.41,0.04444444444444444,274.8213448446559,0.22257061968497968,out,0.765
out,13.23,0.12038405648248604,286.03928629609237,0.269640530578792,out,0.765
in,14.67,0.04444444444444444,306.85858382741816,0.4431353068767906,out,0.765
out,13.24,0.1199129562758516,286.1788793845447,0.27041340547895465,out,0.765
in,13.7,0.04444444444444444,292.6743458287137,0.31199528256837283,out,0.765
out,13.48,0.10849851492726112,289.54962747343313,0.29059490300843926,out,0.765
in,15.45,0.04444444444444444,318.7615498099256,0.5886954596076871,in,0.765
out,12.01,0.16747602208459908,269.5099111584937,0.20972228483818184,out,0.765
in,14.37,0.04444444444444444,302.3997910131306,0.39598447127736625,out,0.765
out,12.44,0.15416529554295327,275.22389673734693,0.2237777686394663,out,0.765
in,15.23,0.04444444444444444,315.3583131414419,0.5450864035027366,in,0.765
out,11.32,0.17722199437917677,260.5878270859014,0.20050145922093623,out,0.765
in,14.83,0.04444444444444444,309.2634271398558,0.47057657243485274,out,0.765
out,11.96,0.16869619737472935,268.85324081996333,0.2085216787615317,out,0.765
